,,song,singer,urls
1985,27,Miami Vice Theme,Jan Hammer,https://www.youtube.com/watch?v=6nPTZqnIfFM
1985,28,Loverboy,Billy Ocean,https://www.youtube.com/watch?v=bohVV_KlSHw
1985,29,Lovergirl,Teena Marie,https://www.youtube.com/watch?v=1fyWgjhe_Zg
1985,30,You Belong to the City,,https://www.youtube.com/watch?v=8TToLgW7zuc
1985,31,Oh Sheila,Ready for the World,https://www.youtube.com/watch?v=wbL2lMn34Oo
1985,32,Rhythm of the Night,DeBarge,https://www.youtube.com/watch?v=cAQSZhazYk8
1985,33,One More Night,,https://www.youtube.com/watch?v=zKVq-P3z5Vg
1985,34,Sea of Love,The Honeydrippers,https://www.youtube.com/watch?v=2BoUzzFXuVU
1985,35,A View to a Kill,Duran Duran,https://www.youtube.com/watch?v=Fp4CR2HcHLQ
1985,36,The Wild Boys,,https://www.youtube.com/watch?v=M43wsiNBwmo
1985,37,You're the Inspiration,Chicago,https://www.youtube.com/watch?v=CRfy1yorkec
1985,38,Neutron Dance,The Pointer Sisters,https://www.youtube.com/watch?v=FU0fBghutBU
1985,39,We Belong,Pat Benatar,https://www.youtube.com/watch?v=qxZInIyOBXk
1985,40,Nightshift,Commodores,https://www.youtube.com/watch?v=FrkEDe6Ljqs
1985,41,Things Can Only Get Better,Howard Jones,https://www.youtube.com/watch?v=-OO9LloDSJo
1985,42,All I Need,Jack Wagner,https://www.youtube.com/watch?v=K38xNqZvBJI
1985,43,Freeway of Love,Aretha Franklin,https://www.youtube.com/watch?v=Ip_pjb5_fgA
1985,44,Never Surrender,Corey Hart,https://www.youtube.com/watch?v=-4pg6Jh94Lo
1985,45,Sussudio,,https://www.youtube.com/watch?v=r0qBaBb1Y-U
1985,46,Strut,Sheena Easton,https://www.youtube.com/watch?v=uSp0kO-NBWw
1985,47,You Give Good Love,,https://www.youtube.com/watch?v=dY7PmX6Oz58
1985,48,The Search Is Over,Survivor,https://www.youtube.com/watch?v=xELTfJ-ZVBc
1985,49,Missing You,Diana Ross,https://www.youtube.com/watch?v=-VtB8FcZ5hQ
1985,50,Separate Lives,Marilyn Martin,https://www.youtube.com/watch?v=IkxLTZm-6OE
1986,1,That's What Friends Are For,"Dionne Warwick,Gladys Knight,Elton John,Stevie Wonder,",https://www.youtube.com/watch?v=HyTpu6BmE88
1986,2,"Say You, Say Me",Lionel Richie,https://www.youtube.com/watch?v=udDXbmno0tw
1986,3,I Miss You,Klymaxx,https://www.youtube.com/watch?v=gvlhHJNppQg
1986,4,On My Own,"Patti LaBelle,Michael McDonald,",https://www.youtube.com/watch?v=KsH63qJlIMM
1986,5,Broken Wings,Mr. Mister,https://www.youtube.com/watch?v=jauCjFAmRMc
1986,6,How Will I Know,Whitney Houston,https://www.youtube.com/watch?v=m3-hY-hlhBg
1986,7,Party All the Time,Eddie Murphy,https://www.youtube.com/watch?v=iWa-6g-TbgI
1986,8,Burning Heart,Survivor,https://www.youtube.com/watch?v=Kc71KZG87X4
1986,9,Kyrie,Mr. Mister,https://www.youtube.com/watch?v=9NDjt4FzFWY
1986,10,Addicted to Love,Robert Palmer,https://www.youtube.com/watch?v=XcATvu5f9vE
1986,11,The Greatest Love of All,Whitney Houston,https://www.youtube.com/watch?v=IYzlVDlE72w
1986,12,Secret Lovers,Atlantic Starr,https://www.youtube.com/watch?v=v91nei61fFk
1986,13,Friends and Lovers,"Gloria Loring,Carl Anderson,",https://www.youtube.com/watch?v=r3tTcl1DJw8
1986,14,Glory of Love,Peter Cetera,https://www.youtube.com/watch?v=g70SpJ1qo5A
1986,15,West End Girls,Pet Shop Boys,https://www.youtube.com/watch?v=p3j2NYZ8FKs
1986,16,There'll Be Sad Songs (To Make You Cry),Billy Ocean,https://www.youtube.com/watch?v=KLjpJZbxkAU
1986,17,Alive and Kicking,Simple Minds,https://www.youtube.com/watch?v=ljIQo1OHkTI
1986,18,Never,Heart,https://www.youtube.com/watch?v=zWzy5q_M5Ho
1986,19,Kiss,"Prince,The Revolution,",https://www.youtube.com/watch?v=H9tEvfIsDyo
1986,20,Higher Love,Steve Winwood,https://www.youtube.com/watch?v=k9olaIio3l8
1986,21,Stuck with You,Huey Lewis and the News,https://www.youtube.com/watch?v=J08ZwySCoJ8
1986,22,Holding Back the Years,Simply Red,https://www.youtube.com/watch?v=yG07WSu7Q9w
1986,23,Sledgehammer,Peter Gabriel,https://www.youtube.com/watch?v=OJWJE0x7T4Q
1986,24,Sara,Starship,https://www.youtube.com/watch?v=32ScTb6_KHg
1986,25,Human,The Human League,https://www.youtube.com/watch?v=s1ysoohV_zA
1986,26,I Can't Wait,Nu Shooz,https://www.youtube.com/watch?v=UJ1tBVtYOBc
1986,27,Take My Breath Away,Berlin,https://www.youtube.com/watch?v=Bx51eegLTY8
1986,28,Rock Me Amadeus,Falco,https://www.youtube.com/watch?v=cVikZ8Oe_XA
1986,29,Papa Don't Preach,Madonna,https://www.youtube.com/watch?v=G333Is7VPOg
1986,30,You Give Love a Bad Name,Bon Jovi,https://www.youtube.com/watch?v=KrZHPOeOxQQ
1986,31,"When the Going Gets Tough, the Tough Get Going",Billy Ocean,https://www.youtube.com/watch?v=-n3sUWR4FV4
1986,32,When I Think of You,Janet Jackson,https://www.youtube.com/watch?v=EaleKN9GQ54
1986,33,These Dreams,Heart,https://www.youtube.com/watch?v=41P8UxneDJE
1986,34,Don't Forget Me (When I'm Gone),Glass Tiger,https://www.youtube.com/watch?v=DD4PSn6qwtU
1986,35,Live to Tell,Madonna,https://www.youtube.com/watch?v=IzAO9A9GjgI
1986,36,Mad About You,Belinda Carlisle,https://www.youtube.com/watch?v=XmdtJWmR9zQ
1986,37,Something About You,Level 42,https://www.youtube.com/watch?v=HXRh34xJuKQ
1986,38,Venus,Bananarama,https://www.youtube.com/watch?v=s3APfxZibHI
1986,39,Dancing on the Ceiling,Lionel Richie,https://www.youtube.com/watch?v=ovo6zwv6DX4
1986,40,Conga,Miami Sound Machine,https://www.youtube.com/watch?v=gbAPhbLKSzQ
1986,41,True Colors,Cyndi Lauper,https://www.youtube.com/watch?v=LPn0KFlbqX8
1986,42,Danger Zone,Kenny Loggins,https://www.youtube.com/watch?v=siwpn14IE7E
1986,43,What Have You Done For Me Lately,Janet Jackson,https://www.youtube.com/watch?v=r9uizdKZAGE
1986,44,No One Is to Blame,Howard Jones,https://www.youtube.com/watch?v=pekhxxngQ3s
1986,45,Let's Go All the Way,Sly Fox,https://www.youtube.com/watch?v=1xIY98rCDWk
1986,46,I Didn't Mean to Turn You On,Robert Palmer,https://www.youtube.com/watch?v=lyNa-ReeZc8
1986,47,Words Get in the Way,Miami Sound Machine,https://www.youtube.com/watch?v=OKIs86NhVno
1986,48,Manic Monday,The Bangles,https://www.youtube.com/watch?v=SsmVgoXDq2w
1986,49,Walk of Life,Dire Straits,https://www.youtube.com/watch?v=kd9TlGDZGkI
1986,50,Amanda,Boston,https://www.youtube.com/watch?v=S4mCIsmiAWc
1987,1,Walk Like An Egyptian,The Bangles,https://www.youtube.com/watch?v=Cv6tuzHUuuk
1987,2,Alone,Heart,https://www.youtube.com/watch?v=1Cw1ng75KP0
1987,3,Shake You Down,Gregory Abbott,https://www.youtube.com/watch?v=Uc8wmLul3uw
1987,4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://www.youtube.com/watch?v=eH3giaIzONA
1987,5,Nothing's Gonna Stop Us Now,Starship,https://www.youtube.com/watch?v=3wxyN3z9PL4
1987,6,C'est La Vie,Robbie Nevil,https://www.youtube.com/watch?v=CGtf9QfITQw
1987,7,Here I Go Again,Whitesnake,https://www.youtube.com/watch?v=WyF8RHM1OCg
1987,8,The Way It Is,Bruce Hornsby and the Range,https://www.youtube.com/watch?v=XchdAP2o57M
1987,9,Shakedown,Bob Seger,https://www.youtube.com/watch?v=Dj8rjVOIWd0
1987,10,Livin' on a Prayer,Bon Jovi,https://www.youtube.com/watch?v=PJUdPsmN81Q
1987,11,La Bamba,Los Lobos,https://www.youtube.com/watch?v=nLAWPrCUQQ0
1987,12,Everybody Have Fun Tonight,Wang Chung,https://www.youtube.com/watch?v=BoXu6QmxpJE
1987,13,Don't Dream It's Over,Crowded House,https://www.youtube.com/watch?v=J9gKyRmic20
1987,14,Always,Atlantic Starr,https://www.youtube.com/watch?v=rxXPV144DOc
1987,15,With or Without You,U2,https://www.youtube.com/watch?v=WZKnQRkWzLI
1987,16,Looking for a New Love,Jody Watley,https://www.youtube.com/watch?v=tfoIbXa3g0Q
1987,17,Head to Toe,Lisa Lisa and Cult Jam,https://www.youtube.com/watch?v=51Iq8JmmfxY
1987,18,I Think We're Alone Now,Tiffany,https://www.youtube.com/watch?v=w6Q3mHyzn78
1987,19,Mony Mony,Billy Idol,https://www.youtube.com/watch?v=sYYAv-QW38Q
1987,20,At This Moment,Billy Vera and the Beaters,https://www.youtube.com/watch?v=O2ur063fMhs
1987,21,The Lady in Red,Chris de Burgh,https://www.youtube.com/watch?v=Z8cetxBK9Dg
1987,22,Didn't We Almost Have It All,Whitney Houston,https://www.youtube.com/watch?v=i_4PlM85NJo
1987,23,I Still Haven't Found What I'm Looking For,U2,https://www.youtube.com/watch?v=e3-5YC_oHjE
1987,24,I Want Your Sex,George Michael,https://www.youtube.com/watch?v=vldh7oQD-a4
1987,25,Notorious,Duran Duran,https://www.youtube.com/watch?v=6AeRtYEtRX8
1987,26,Only in My Dreams,Debbie Gibson,https://www.youtube.com/watch?v=4T1t5OFOYDU
1987,27,(I've Had) The Time of My Life,"Bill Medley,Jennifer Warnes,",https://www.youtube.com/watch?v=6eyCDj1s4NI
1987,28,The Next Time I Fall,"Peter Cetera,Amy Grant,",https://www.youtube.com/watch?v=c-ENYuomYzA
1987,29,Lean on Me,Club Nouveau,https://www.youtube.com/watch?v=Ho3uktaR--E
1987,30,Open Your Heart,Madonna,https://www.youtube.com/watch?v=snsTmi9N9Gs
1987,31,Lost in Emotion,Lisa Lisa and Cult Jam,https://www.youtube.com/watch?v=If8by9Df4wM
1987,32,(I Just) Died In Your Arms,Cutting Crew,https://www.youtube.com/watch?v=D_zJwAXD2Tk
1987,33,Heart and Soul,T'Pau,https://www.youtube.com/watch?v=SwrYMWoqg5w
1987,34,You Keep Me Hangin' On,Kim Wilde,https://www.youtube.com/watch?v=433aHgCBmeU
1987,35,Keep Your Hands to Yourself,Georgia Satellites,https://www.youtube.com/watch?v=-Y7iYkLRJJY
1987,36,I Knew You Were Waiting (For Me),"Aretha Franklin,George Michael,",https://www.youtube.com/watch?v=fDxzQJaA228
1987,37,Control,Janet Jackson,https://www.youtube.com/watch?v=LH8xbDGv7oY
1987,38,U Got the Look,Prince,https://www.youtube.com/watch?v=_jCuroTbqBI
1987,39,Somewhere Out There,"Linda Ronstadt,James Ingram,",https://www.youtube.com/watch?v=Smc5FHbZtG4
1987,40,Land of Confusion,Genesis,https://www.youtube.com/watch?v=Yq7FKO5DlV0
1987,41,Jacob's Ladder,Huey Lewis and the News,https://www.youtube.com/watch?v=ojPUIjiaH_I
1987,42,Who's That Girl,Madonna,https://www.youtube.com/watch?v=r0qDBYiOBrc
1987,43,You Got It All,The Jets,https://www.youtube.com/watch?v=1a7dN52k_r0
1987,44,Touch Me (I Want Your Body),Samantha Fox,https://www.youtube.com/watch?v=W1btg3mpEOc
1987,45,I Just Can't Stop Loving You,"Michael Jackson,Siedah Garrett,",https://www.youtube.com/watch?v=fKBiYBWRYDM
1987,46,Causing a Commotion,Madonna,https://www.youtube.com/watch?v=a7Tuta8aOhs
1987,47,In Too Deep,Genesis,https://www.youtube.com/watch?v=qQIO3pBFfXI
1987,48,Let's Wait Awhile,Janet Jackson,https://www.youtube.com/watch?v=3Tr9cK27DOA
1987,49,Hip to Be Square,Huey Lewis and the News,https://www.youtube.com/watch?v=LB5YkmjalDg
1987,50,Will You Still Love Me?,Chicago,https://www.youtube.com/watch?v=d_l-st8Q1S0
1988,1,Faith,George Michael,https://www.youtube.com/watch?v=6Cs3Pvmmv0E
1988,2,Need You Tonight,INXS,https://www.youtube.com/watch?v=F93ywiGMDnQ
1988,3,Got My Mind Set on You,George Harrison,https://www.youtube.com/watch?v=_71w4UA2Oxo
1988,4,Never Gonna Give You Up,Rick Astley,https://www.youtube.com/watch?v=ds8sVhxdvfA
1988,5,Sweet Child o' Mine,Guns N' Roses,https://www.youtube.com/watch?v=1w7OgIMMRc4
1988,6,So Emotional,Whitney Houston,https://www.youtube.com/watch?v=0YjSHbA6HQQ
1988,7,Heaven Is a Place on Earth,Belinda Carlisle,https://www.youtube.com/watch?v=s3vTXkKReuw
1988,8,Could've Been,Tiffany,https://www.youtube.com/watch?v=s143JBZ_mUc
1988,9,Hands to Heaven,Breathe,https://www.youtube.com/watch?v=KC5InWPjtL8
1988,10,Roll with It,Steve Winwood,https://www.youtube.com/watch?v=u_vkKozA8OI
1988,11,One More Try,George Michael,https://www.youtube.com/watch?v=bG5N3GC-m20
1988,12,Wishing Well,Terence Trent D'Arby,https://www.youtube.com/watch?v=ynIHsHYaig0
1988,13,Anything for You,Gloria Estefan and Miami Sound Machine,https://www.youtube.com/watch?v=4uLl8aA95zA
1988,14,The Flame,Cheap Trick,https://www.youtube.com/watch?v=muhFxXce6nA
1988,15,"Get Outta My Dreams, Get into My Car",Billy Ocean,https://www.youtube.com/watch?v=zNgcYGgtf8M
1988,16,Seasons Change,Exposé,https://www.youtube.com/watch?v=IeGIC2FnZGA
1988,17,Is This Love,Whitesnake,https://www.youtube.com/watch?v=GOJk0HW_hJw
1988,18,"Wild, Wild West",The Escape Club,https://www.youtube.com/watch?v=6vE5ewvxdfo
1988,19,Pour Some Sugar on Me,Def Leppard,https://www.youtube.com/watch?v=0UIB9Y4OFPs
1988,20,I'll Always Love You,Taylor Dayne,https://www.youtube.com/watch?v=0bGdnMnq40s
1988,21,Man in the Mirror,Michael Jackson,https://www.youtube.com/watch?v=ul-g8rLpMvo
1988,22,Shake Your Love,Debbie Gibson,https://www.youtube.com/watch?v=jv1YwsbIxDw
1988,23,Simply Irresistible,Robert Palmer,https://www.youtube.com/watch?v=UrGw_cOgwa8
1988,24,Hold On to the Nights,Richard Marx,https://www.youtube.com/watch?v=LBmNTLxclXE
1988,25,Hungry Eyes,Eric Carmen,https://www.youtube.com/watch?v=2ssCL292DQA
1988,26,Shattered Dreams,Johnny Hates Jazz,https://www.youtube.com/watch?v=ctwqa3QCwMw
1988,27,Father Figure,George Michael,https://www.youtube.com/watch?v=m_9hfHvQSNo
1988,28,Naughty Girls (Need Love Too),Samantha Fox,https://www.youtube.com/watch?v=pXEN57rFnIM
1988,29,A Groovy Kind of Love,Phil Collins,https://www.youtube.com/watch?v=HsC_SARyPzk
1988,30,Love Bites,Def Leppard,https://www.youtube.com/watch?v=W4XiSFyYRE8
1988,31,Endless Summer Nights,Richard Marx,https://www.youtube.com/watch?v=1NvsMKYgCsM
1988,32,Foolish Beat,Debbie Gibson,https://www.youtube.com/watch?v=qf8BoWKeHow
1988,33,Where Do Broken Hearts Go,Whitney Houston,https://www.youtube.com/watch?v=wa3tfVjGCQ8
1988,34,Angel,Aerosmith,https://www.youtube.com/watch?v=CBTOGVb_cQg
1988,35,A Hazy Shade of Winter,The Bangles,https://www.youtube.com/watch?v=TxrwImCJCqk
1988,36,The Way You Make Me Feel,Michael Jackson,https://www.youtube.com/watch?v=l2OC4BxjzLM
1988,37,"Don't Worry, Be Happy",Bobby McFerrin,https://www.youtube.com/watch?v=d-diB65scQU
1988,38,Make Me Lose Control,Eric Carmen,https://www.youtube.com/watch?v=fQlKa1IeZF8
1988,39,Red Red Wine,UB40,https://www.youtube.com/watch?v=zXt56MB-3vc
1988,40,She's Like the Wind,Patrick Swayze,https://www.youtube.com/watch?v=lU9p1WRfA9w
1988,41,Bad Medicine,Bon Jovi,https://www.youtube.com/watch?v=eOUtsybozjg
1988,42,Kokomo,The Beach Boys,https://www.youtube.com/watch?v=fJWmbLS2_ec
1988,43,I Don't Wanna Go on with You Like That,Elton John,https://www.youtube.com/watch?v=kaJRvZZBnX8
1988,44,Together Forever,Rick Astley,https://www.youtube.com/watch?v=yPYZpwSpKmA
1988,45,Monkey,George Michael,https://www.youtube.com/watch?v=CHb2XYeXcJI
1988,46,Devil Inside,INXS,https://www.youtube.com/watch?v=hv_zJrO_ptk
1988,47,Should've Known Better,Richard Marx,https://www.youtube.com/watch?v=TpKxH2dDqEM
1988,48,I Don't Wanna Live Without Your Love,Chicago,https://www.youtube.com/watch?v=kGU_-fnSQI8
1988,49,The Loco-Motion,Kylie Minogue,https://www.youtube.com/watch?v=POWsFzSFLCE
1988,50,What Have I Done to Deserve This?,"Pet Shop Boys,Dusty Springfield,",https://www.youtube.com/watch?v=Wn9E5i7l-Eg
1989,1,Look Away,Chicago,https://www.youtube.com/watch?v=2uKLTtVqQpE
1989,2,My Prerogative,Bobby Brown,https://www.youtube.com/watch?v=5cDLZqe735k
1989,3,Every Rose Has Its Thorn,Poison,https://www.youtube.com/watch?v=j2r2nDhTzO4
1989,4,Straight Up,Paula Abdul,https://www.youtube.com/watch?v=El1kgCqD7Xk
1989,5,Miss You Much,Janet Jackson,https://www.youtube.com/watch?v=IVF0zcqr9Dg
1989,6,Cold Hearted,Paula Abdul,https://www.youtube.com/watch?v=o7aShcmEksw
1989,7,Wind Beneath My Wings,Bette Midler,https://www.youtube.com/watch?v=0iAzMRKFX3c
1989,8,Girl You Know It's True,Milli Vanilli,https://www.youtube.com/watch?v=RdSmokR0Enk
1989,9,"Baby, I Love Your Way/Freebird Medley",Will to Power,https://www.youtube.com/watch?v=79r_XaUU7yE
1989,10,Giving You the Best That I Got,Anita Baker,https://www.youtube.com/watch?v=8lbJgOJIS_8
1989,11,Right Here Waiting,Richard Marx,https://www.youtube.com/watch?v=S_E2EHVxNAE
1989,12,Waiting For a Star to Fall,Boy Meets Girl,https://www.youtube.com/watch?v=RhxF9Qg5mOU
1989,13,Lost in Your Eyes,Debbie Gibson,https://www.youtube.com/watch?v=8Ms3mJFkSeg
1989,14,Don't Wanna Lose You,Gloria Estefan,https://www.youtube.com/watch?v=J1x1WGtePSE
1989,15,Heaven,Warrant,https://www.youtube.com/watch?v=rrSdXtFJG20
1989,16,Girl I'm Gonna Miss You,Milli Vanilli,https://www.youtube.com/watch?v=ZbUENJ5FjBk
1989,17,The Look,Roxette,https://www.youtube.com/watch?v=LlVI7ZNiFlI
1989,18,She Drives Me Crazy,Fine Young Cannibals,https://www.youtube.com/watch?v=UtvmTu4zAMg
1989,19,On Our Own,Bobby Brown,https://www.youtube.com/watch?v=e2sLeruRZio
1989,20,Two Hearts,Phil Collins,https://www.youtube.com/watch?v=SidxJz94Svs
1989,21,Blame It on the Rain,Milli Vanilli,https://www.youtube.com/watch?v=BI5IA8assfk
1989,22,Listen to Your Heart,Roxette,https://www.youtube.com/watch?v=yCC_b5WHLX0
1989,23,I'll Be There for You,Bon Jovi,https://www.youtube.com/watch?v=mh8MIp2FOhc
1989,24,If You Don't Know Me by Now,Simply Red,https://www.youtube.com/watch?v=zTcu7MCtuTs
1989,25,Like a Prayer,Madonna,https://www.youtube.com/watch?v=79fzeNUqQbQ
1989,26,I'll Be Loving You (Forever),New Kids on the Block,https://www.youtube.com/watch?v=ZT_7UjCVELg
1989,27,How Can I Fall?,Breathe,https://www.youtube.com/watch?v=PwZ4erdJZRA
1989,28,Baby Don't Forget My Number,Milli Vanilli,https://www.youtube.com/watch?v=JhyzGDPwmYU
1989,29,Toy Soldiers,Martika,https://www.youtube.com/watch?v=LvdLovAaYzM
1989,30,Forever Your Girl,Paula Abdul,https://www.youtube.com/watch?v=0pyxKqdtrH8
1989,31,The Living Years,Mike + The Mechanics,https://www.youtube.com/watch?v=5hr64MxYpgk
1989,32,Eternal Flame,The Bangles,https://www.youtube.com/watch?v=PSoOFn3wQV4
1989,33,Wild Thing,Tone Loc,https://www.youtube.com/watch?v=387ZDGSKVSg
1989,34,When I See You Smile,Bad English,https://www.youtube.com/watch?v=cu6pclWsxzs
1989,35,If I Could Turn Back Time,Cher,https://www.youtube.com/watch?v=9n3A_-HRFfc
1989,36,Buffalo Stance,Neneh Cherry,https://www.youtube.com/watch?v=JWsRz3TJDEY
1989,37,When I'm with You,Sheriff,https://www.youtube.com/watch?v=JyIGlUoTh9I
1989,38,Don't Rush Me,Taylor Dayne,https://www.youtube.com/watch?v=1rPOg6VnzV8
1989,39,Born to Be My Baby,Bon Jovi,https://www.youtube.com/watch?v=ZBDZ6QU3E5Q
1989,40,Good Thing,Fine Young Cannibals,https://www.youtube.com/watch?v=We_9MthGzwk
1989,41,The Lover in Me,Sheena Easton,https://www.youtube.com/watch?v=EuX1TxzNatY
1989,42,Bust a Move,Young MC,https://www.youtube.com/watch?v=xy4FXhkm6Nw
1989,43,"Once Bitten, Twice Shy",Great White,https://www.youtube.com/watch?v=cTBIKNCsOXU
1989,44,Batdance,Prince,https://www.youtube.com/watch?v=ulOLYnOthIw
1989,45,Rock On,Michael Damian,https://www.youtube.com/watch?v=K2v-DMpgO7o
1989,46,Real Love,Jody Watley,https://www.youtube.com/watch?v=r-FUquLYdxQ
1989,47,Love Shack,The B-52's,https://www.youtube.com/watch?v=9SOryJvTAGs
1989,48,Every Little Step,Bobby Brown,https://www.youtube.com/watch?v=P0FKzPfsxA4
1989,49,Hangin' Tough,New Kids on the Block,https://www.youtube.com/watch?v=By86PcLufOU
1989,50,My Heart Can't Tell You No,Rod Stewart,https://www.youtube.com/watch?v=NtNKowPiB2w
1990,1,Hold On,Wilson Phillips,https://www.youtube.com/watch?v=uIbXvaE39wM
1990,2,It Must Have Been Love,Roxette,https://www.youtube.com/watch?v=k2C5TjS2sh4
1990,3,Nothing Compares 2 U,Sinéad O'Connor,https://www.youtube.com/watch?v=0-EF60neguk
1990,4,Poison,Bell Biv DeVoe,https://www.youtube.com/watch?v=l80yV7QwCWw
1990,5,Vogue,Madonna,https://www.youtube.com/watch?v=GuJQSAiODqI
1990,6,Vision of Love,Mariah Carey,https://www.youtube.com/watch?v=tov22NtCMC4
1990,7,Another Day in Paradise,Phil Collins,https://www.youtube.com/watch?v=Qt2mbGP6vFI
1990,8,Hold On,En Vogue,https://www.youtube.com/watch?v=uIbXvaE39wM
1990,9,Cradle of Love,Billy Idol,https://www.youtube.com/watch?v=NCZuYS-9qaw
1990,10,Blaze of Glory,Jon Bon Jovi,https://www.youtube.com/watch?v=MfmYCM4CS8o
1990,11,Do Me!,Bell Biv DeVoe,https://www.youtube.com/watch?v=ZieygZyvw4A
1990,12,How Am I Supposed to Live Without You,Michael Bolton,https://www.youtube.com/watch?v=YFood_bTOX4
1990,13,Pump Up the Jam,Technotronic,https://www.youtube.com/watch?v=9EcjWd-O4jI
1990,14,Opposites Attract,Paula Abdul,https://www.youtube.com/watch?v=xweiQukBM_k
1990,15,Escapade,Janet Jackson,https://www.youtube.com/watch?v=UFX3gQHIroU
1990,16,All I Wanna Do Is Make Love to You,Heart,https://www.youtube.com/watch?v=OAfxs0IDeMs
1990,17,Close to You,Maxi Priest,https://www.youtube.com/watch?v=fSR3YgUcyU4
1990,18,Black Velvet,Alannah Myles,https://www.youtube.com/watch?v=tkXNEmtf9tk
1990,19,Release Me,Wilson Phillips,https://www.youtube.com/watch?v=gcNyk54b3ZU
1990,20,Don't Know Much,"Linda Ronstadt,Aaron Neville,",https://www.youtube.com/watch?v=RvTvSSztu50
1990,21,All Around the World,Lisa Stansfield,https://www.youtube.com/watch?v=JVuuatjHGnY
1990,22,I Wanna Be Rich,Calloway,https://www.youtube.com/watch?v=Ztk9t_m1FpY
1990,23,Rub You the Right Way,Johnny Gill,https://www.youtube.com/watch?v=VUvtlmlBbDg
1990,24,She Ain't Worth It,"Glenn Medeiros,Bobby Brown,",https://www.youtube.com/watch?v=XKD7HNTF2io
1990,25,If Wishes Came True,Sweet Sensation,https://www.youtube.com/watch?v=wHqqraFrrd0
1990,26,The Power,Snap!,https://www.youtube.com/watch?v=nm6DO_7px1I
1990,27,(Can't Live Without Your) Love and Affection,Nelson,https://www.youtube.com/watch?v=x1W6-ErrHls
1990,28,Love Will Lead You Back,Taylor Dayne,https://www.youtube.com/watch?v=MO6xhLtfwW0
1990,29,Don't Wanna Fall in Love,Jane Child,https://www.youtube.com/watch?v=zWd__w5UWVc
1990,30,Two to Make It Right,Seduction,https://www.youtube.com/watch?v=vd2z1Rz0-3k
1990,31,Sending All My Love,Linear,https://www.youtube.com/watch?v=WE-5KBuDG4k
1990,32,Unskinny Bop,Poison,https://www.youtube.com/watch?v=Xk5y4wvsLyY
1990,33,Step by Step,New Kids on the Block,https://www.youtube.com/watch?v=ay6GjmiJTPM
1990,34,Dangerous,Roxette,https://www.youtube.com/watch?v=VFNRh26TPmM
1990,35,We Didn't Start the Fire,Billy Joel,https://www.youtube.com/watch?v=XEsEsaVIzTg
1990,36,I Don't Have the Heart,James Ingram,https://www.youtube.com/watch?v=x65ZPd11gxY
1990,37,Downtown Train,Rod Stewart,https://www.youtube.com/watch?v=7vPrtOFKPWY
1990,38,Rhythm Nation,Janet Jackson,https://www.youtube.com/watch?v=X4xwGx1-JeA
1990,39,I'll Be Your Everything,Tommy Page,https://www.youtube.com/watch?v=rTki_oqDLqk
1990,40,Roam,The B-52's,https://www.youtube.com/watch?v=iNwC0sp-uA4
1990,41,Everything,Jody Watley,https://www.youtube.com/watch?v=zijBZiswYN8
1990,42,Back to Life (However Do You Want Me),"Soul II Soul,Caron Wheeler,",https://www.youtube.com/watch?v=TB54dZkzZOY
1990,43,Here and Now,Luther Vandross,https://www.youtube.com/watch?v=0u_u4nlYmNs
1990,44,Alright,Janet Jackson,https://www.youtube.com/watch?v=hH715qFTlAc
1990,45,Ice Ice Baby,Vanilla Ice,https://www.youtube.com/watch?v=rog8ou-ZepE
1990,46,Blame It on the Rain,Milli Vanilli,https://www.youtube.com/watch?v=BI5IA8assfk
1990,47,Have You Seen Her,MC Hammer,https://www.youtube.com/watch?v=y7iPg7cUcFs
1990,48,With Every Beat of My Heart,Taylor Dayne,https://www.youtube.com/watch?v=LLqavsL003Q
1990,49,Come Back to Me,Janet Jackson,https://www.youtube.com/watch?v=-5ecZWwO_hQ
1990,50,No More Lies,Michel'le,https://www.youtube.com/watch?v=MXxSncElwqI
1991,1,(Everything I Do) I Do It for You,Bryan Adams,https://www.youtube.com/watch?v=Y0pdQU87dc8
1991,2,I Wanna Sex You Up,Color Me Badd,https://www.youtube.com/watch?v=Oxu3pq319r0
1991,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,https://www.youtube.com/watch?v=LaTGrV58wec
1991,4,Rush Rush,Paula Abdul,https://www.youtube.com/watch?v=yqyIaNWP0T0
1991,5,One More Try,Timmy T,https://www.youtube.com/watch?v=Q06Lg5DvMFE
1991,6,Unbelievable,EMF,https://www.youtube.com/watch?v=sfCLt0kTd5E
1991,7,More Than Words,Extreme,https://www.youtube.com/watch?v=UrIiLvg58SY
1991,8,I Like the Way (The Kissing Game),Hi-Five,https://www.youtube.com/watch?v=vF3MB0U6DO8
1991,9,The First Time,Surface,https://www.youtube.com/watch?v=_Sz2HOAb54w
1991,10,Baby Baby,Amy Grant,https://www.youtube.com/watch?v=vMXuuYnoRdI
1991,11,Motownphilly,Boyz II Men,https://www.youtube.com/watch?v=Rciee-oQLoI
1991,12,Because I Love You (The Postman Song),Stevie B,https://www.youtube.com/watch?v=Xc1uQI2XmZs
1991,13,Someday,Mariah Carey,https://www.youtube.com/watch?v=4RWfSUWVP2I
1991,14,High Enough,Damn Yankees,https://www.youtube.com/watch?v=l_uh8XjgLTE
1991,15,From a Distance,Bette Midler,https://www.youtube.com/watch?v=lN4AcFzxtdE
