year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw,0,,,,
1974,1,The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M,1,138.108,A Major,The Way We Were,Barbra Streisand
1975,1,Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o,1,129.62,E Major,Love Will Keep Us Together,Captain & Tennille
1976,1,Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw,1,124.95,C Major,Silly Love Songs - 2014 Remaster,Wings
1977,1,Tonight's the Night (Gonna Be Alright),Rod Stewart,https://www.youtube.com/watch?v=IZr6AE-u2UM,1,136.547,B Major,Tonight's the Night (Gonna Be Alright) - 2009 Remaster,Rod Stewart
1978,1,Shadow Dancing,Andy Gibb,https://www.youtube.com/watch?v=iQgb59Zg_E0,1,101.933,G Minor,Shadow Dancing,Andy Gibb
1979,1,My Sharona,The Knack,https://www.youtube.com/watch?v=BR2JtsVumFA,1,147.245,C Major,My Sharona,The Knack
1980,1,Call Me,Blondie,https://www.youtube.com/watch?v=StKVS0eI85I,1,142.667,D Minor,Call Me,Blondie
1981,1,Bette Davis Eyes,Kim Carnes,https://www.youtube.com/watch?v=EPOIS5taqA8,1,116.62,F Major,Bette Davis Eyes,Kim Carnes
1982,1,Physical,Olivia Newton-John,https://www.youtube.com/watch?v=vWz9VN40nCA,1,124.066,E Minor,Physical - Remastered 2021,Olivia Newton-John
1983,1,Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs,1,117.401,Db Major,Every Breath You Take,The Police
1984,1,When Doves Cry,Prince,https://www.youtube.com/watch?v=UG3VcCAlUgE,1,126.468,A Minor,When Doves Cry,Prince
1985,1,Careless Whisper,Wham!,https://www.youtube.com/watch?v=izGwDsrQ1eQ,1,76.704,D Minor,Careless Whisper,Wham!
1986,1,That's What Friends Are For,"Dionne Warwick,Gladys Knight,Elton John,Stevie Wonder,",https://www.youtube.com/watch?v=HyTpu6BmE88,0,,,,
1987,1,Walk Like An Egyptian,The Bangles,https://www.youtube.com/watch?v=Cv6tuzHUuuk,0,,,,
1988,1,Faith,George Michael,https://www.youtube.com/watch?v=6Cs3Pvmmv0E,1,95.846,B Major,Faith - Remastered - featured in 'Babygirl',George Michael
1989,1,Look Away,Chicago,https://www.youtube.com/watch?v=2uKLTtVqQpE,1,85.959,A Major,Look Away - 2009 Remaster,Chicago
1990,1,Hold On,Wilson Phillips,https://www.youtube.com/watch?v=uIbXvaE39wM,1,97.801,F Major,Hold On,Wilson Phillips
1991,1,(Everything I Do) I Do It for You,Bryan Adams,https://www.youtube.com/watch?v=Y0pdQU87dc8,1,131.23,Db Major,(Everything I Do) I Do It For You,Bryan Adams
1992,1,End of the Road,Boyz II Men,https://www.youtube.com/watch?v=zDKO6XYXioc,1,149.705,F Minor,End Of The Road,Boyz II Men
1993,1,I Will Always Love You,Whitney Houston,https://www.youtube.com/watch?v=jyIA7rAwRcY,0,,,,
1994,1,The Sign,Ace of Base,https://www.youtube.com/watch?v=iqu132vTl5Y,1,96.987,E Minor,The Sign,Ace of Base
1995,1,Gangsta's Paradise,"Coolio,L.V.,",https://www.youtube.com/watch?v=fPO76Jlnz6c,1,79.975,Ab Major,Gangsta's Paradise,"Coolio, L.V."
1996,1,Macarena,Los del Río,https://www.youtube.com/watch?v=JjDXzzx46KY,0,,,,
1997,1,Candle in the Wind 1997,"Something About the Way You Look Tonight,Elton John,",https://www.youtube.com/watch?v=V0PKcKbjlKg,0,,,,
1998,1,Too Close,Next,https://www.youtube.com/watch?v=kwEZRPkAAu8,0,,,,
1999,1,Believe,Cher,https://www.youtube.com/watch?v=f4i2EUZWQnM,1,132.975,Gb Major,Believe,Cher
2000,1,Breathe,Faith Hill,https://www.youtube.com/watch?v=yCmsZUN4r_s,0,,,,
2001,1,Hanging by a Moment,Lifehouse,https://www.youtube.com/watch?v=tPnK39ax_AM,1,124.557,Db Major,Hanging By A Moment,Lifehouse
2002,1,How You Remind Me,Nickelback,https://www.youtube.com/watch?v=1cQh1ccqu8M,1,172.094,Bb Major,How You Remind Me,Nickelback
2003,1,In da Club,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss,1,90.051,Gb Minor,In Da Club,50 Cent
2004,1,Yeah!,"Usher,Lil Jon,Ludacris,",https://www.youtube.com/watch?v=GxBSyx85Kp8,0,,,,
2005,1,We Belong Together,Mariah Carey,https://www.youtube.com/watch?v=0habxsuXW4g,0,,,,
2006,1,Bad Day,Daniel Powter,https://www.youtube.com/watch?v=gH476CxJxfg,1,140.046,Eb Major,Bad Day,Daniel Powter
2007,1,Irreplaceable,Beyoncé,https://www.youtube.com/watch?v=2EwViQxSJJQ,1,175.868,G Minor,Irreplaceable,Beyoncé
2008,1,Low,"Flo Rida,T-Pain,",https://www.youtube.com/watch?v=ckKFxMw6z0c,0,,,,
2009,1,Boom Boom Pow,The Black Eyed Peas,https://www.youtube.com/watch?v=4m48GqaOz90,0,,,,
2010,1,Tik Tok,Kesha,https://www.youtube.com/watch?v=iP6XpLQM2Cs,1,120.028,D Minor,TiK ToK,Kesha
2011,1,Rolling in the Deep,Adele,https://www.youtube.com/watch?v=rYEDA3JcQqw,1,104.948,Ab Major,Rolling in the Deep,Adele
2012,1,Somebody That I Used to Know,"Gotye,Kimbra,",https://www.youtube.com/watch?v=8UVNT4wvIGY,1,129.059,C Major,Somebody That I Used To Know,"Gotye, Kimbra"
2013,1,Thrift Shop,"Macklemore & Ryan Lewis,Wanz,",https://www.youtube.com/watch?v=QK8mJJJvaes,1,94.993,Gb Minor,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz"
2014,1,Happy,Pharrell Williams,https://www.youtube.com/watch?v=y6Sxv-sUYtM,1,160.019,F Minor,"Happy - From ""Despicable Me 2""",Pharrell Williams
2015,1,Uptown Funk,"Mark Ronson,Bruno Mars,",https://www.youtube.com/watch?v=OPf0YbXqDm0,1,114.988,C Major,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars"
2016,1,Love Yourself,Justin Bieber,https://www.youtube.com/watch?v=oyEuk8j8imI,1,100.43,E Major,Love Yourself,Justin Bieber
2017,1,Shape of You,Ed Sheeran,https://www.youtube.com/watch?v=JGwWNGJdvx8,1,95.977,Db Minor,Shape of You,Ed Sheeran
2018,1,God's Plan,Drake,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,1,77.169,G Major,God's Plan,Drake
2019,1,Old Town Road,"Lil Nas X,Billy Ray Cyrus,",https://www.youtube.com/watch?v=w2Ov5jzm3j8,1,136.041,Gb Major,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus"
2020,1,Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ,0,,,,
2021,1,Levitating,Dua Lipa,https://www.youtube.com/watch?v=vFWv44Z4Jhk,1,102.977,Gb Minor,Levitating (feat. DaBaby),"Dua Lipa, DaBaby"
2022,1,Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo,0,,,,
1973,2,"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I,1,148.063,G Major,"Bad, Bad Leroy Brown",Jim Croce
1974,2,Seasons in the Sun,Terry Jacks,https://www.youtube.com/watch?v=bWdQbxNEFEs,1,99.975,Gb Major,Seasons in the Sun,Terry Jacks
1975,2,Rhinestone Cowboy,Glen Campbell,https://www.youtube.com/watch?v=8kAU3B9Pi_U,1,115.192,C Major,Rhinestone Cowboy,Glen Campbell
1976,2,Don't Go Breaking My Heart,"Elton John,Kiki Dee,",https://www.youtube.com/watch?v=z0qW9P-uYfM,1,131.459,F Major,Don't Go Breaking My Heart,"Elton John, Kiki Dee"
1977,2,I Just Want to Be Your Everything,Andy Gibb,https://www.youtube.com/watch?v=tA6L8-lxaA8,0,,,,
1978,2,Night Fever,Bee Gees,https://www.youtube.com/watch?v=-ihs-vT9T3Q,1,103.564,Bb Minor,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees
1979,2,Bad Girls,Donna Summer,https://www.youtube.com/watch?v=NF46NnUn5nw,1,120.529,D Minor,Bad Girls,Donna Summer
1980,2,"Another Brick in the Wall, Part II",Pink Floyd,https://www.youtube.com/watch?v=HrxX9TBj2zY,0,,,,
1981,2,Endless Love,"Diana Ross,Lionel Richie,",https://www.youtube.com/watch?v=7Bwwo7ctG10,0,,,,
1982,2,Eye of the Tiger,Survivor,https://www.youtube.com/watch?v=btPJPFnesV4,1,108.965,C Minor,Eye of the Tiger,Survivor
1983,2,Billie Jean,Michael Jackson,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,1,117.002,B Minor,Billie Jean,Michael Jackson
1984,2,What's Love Got to Do with It,Tina Turner,https://www.youtube.com/watch?v=oGpFcHTxjZs,1,97.792,Db Major,What's Love Got to Do with It - 2015 Remaster,Tina Turner
1985,2,Like a Virgin,Madonna,https://www.youtube.com/watch?v=9fj2p3jlkuQ,1,119.747,Eb Minor,Like a Virgin,Madonna
1986,2,"Say You, Say Me",Lionel Richie,https://www.youtube.com/watch?v=udDXbmno0tw,0,,,,
1987,2,Alone,Heart,https://www.youtube.com/watch?v=1Cw1ng75KP0,1,175.124,Db Major,Alone,Heart
1988,2,Need You Tonight,INXS,https://www.youtube.com/watch?v=F93ywiGMDnQ,1,108.701,Bb Minor,Need You Tonight,INXS
1989,2,My Prerogative,Bobby Brown,https://www.youtube.com/watch?v=5cDLZqe735k,0,,,,
1990,2,It Must Have Been Love,Roxette,https://www.youtube.com/watch?v=k2C5TjS2sh4,1,80.61,F Major,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette
1991,2,I Wanna Sex You Up,Color Me Badd,https://www.youtube.com/watch?v=Oxu3pq319r0,0,,,,
1992,2,Baby Got Back,Sir Mix-a-Lot,https://www.youtube.com/watch?v=X53ZSxkQ3Ho,1,128.462,Db Major,Baby Got Back,Sir Mix-A-Lot
1993,2,Whoomp! (There It Is),Tag Team,https://www.youtube.com/watch?v=fdKsgBNEHUU,0,,,,
1994,2,I Swear,All-4-One,https://www.youtube.com/watch?v=25rL-ooWICU,1,83.207,Gb Minor,I Swear,All-4-One
1995,2,Waterfalls,TLC,https://www.youtube.com/watch?v=8WEtxJ4-sh4,1,171.804,Db Major,Waterfalls,TLC
1996,2,One Sweet Day,"Mariah Carey,Boyz II Men,",https://www.youtube.com/watch?v=UXxRyNvTPr8,1,128.234,Db Major,One Sweet Day,"Mariah Carey, Boyz II Men"
1997,2,You Were Meant for Me,"Foolish Games,Jewel,",https://www.youtube.com/watch?v=jc-IvIy0UUs,0,,,,
1998,2,The Boy Is Mine,"Brandy,Monica,",https://www.youtube.com/watch?v=qSIOp_K5GMw,1,93.145,Db Minor,The Boy Is Mine,"Brandy, Monica"
1999,2,No Scrubs,TLC,https://www.youtube.com/watch?v=FrLequ6dUdM,1,92.909,Ab Minor,No Scrubs,TLC
2000,2,Smooth,"Santana,Rob Thomas,",https://www.youtube.com/watch?v=6Whgn_iE5uc,1,115.996,A Major,Smooth (feat. Rob Thomas),"Santana, Rob Thomas"
2001,2,Fallin',Alicia Keys,https://www.youtube.com/watch?v=Urdlvw0SSEc,0,,,,
2002,2,Foolish,Ashanti,https://www.youtube.com/watch?v=gUPrnu3BEU8,1,90.119,C Major,Foolish,Ashanti
2003,2,Ignition,R. Kelly,https://www.youtube.com/watch?v=ksB-2ZhNXBE,0,,,,
2004,2,Burn,Usher,https://www.youtube.com/watch?v=t5XNWFw5HVw,0,,,,
2005,2,Hollaback Girl,Gwen Stefani,https://www.youtube.com/watch?v=Kgjkth6BRRY,0,,,,
2006,2,Temperature,Sean Paul,https://www.youtube.com/watch?v=dW2MmuA1nI4,1,125.04,C Minor,Temperature,Sean Paul
2007,2,Umbrella,"Rihanna,Jay-Z,",https://www.youtube.com/watch?v=CvBfHwUxHIk,1,174.034,Db Major,Umbrella,"Rihanna, JAY-Z"
2008,2,Bleeding Love,Leona Lewis,https://www.youtube.com/watch?v=Vzo-EL_62fQ,1,104.036,F Major,Bleeding Love,Leona Lewis
2009,2,Poker Face,Lady Gaga,https://www.youtube.com/watch?v=bESGLojNYSo,0,,,,
2010,2,Need You Now,Lady Antebellum,https://www.youtube.com/watch?v=eM213aMKTHg,0,,,,
2011,2,Party Rock Anthem,"LMFAO,Lauren Bennett,GoonRock,",https://www.youtube.com/watch?v=KQ6zr6kCPj8,1,130.011,F Minor,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock"
2012,2,Call Me Maybe,Carly Rae Jepsen,https://www.youtube.com/watch?v=fWNaR-rxAic,1,120.021,G Major,Call Me Maybe,Carly Rae Jepsen
2013,2,Blurred Lines,"Robin Thicke,T.I.,Pharrell Williams,",https://www.youtube.com/watch?v=yyDUC1LUXSU,1,119.993,G Major,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams"
2014,2,Dark Horse,"Katy Perry,Juicy J,",https://www.youtube.com/watch?v=0KSOMA3QBU0,1,131.934,Gb Major,Dark Horse,"Katy Perry, Juicy J"
2015,2,Thinking Out Loud,Ed Sheeran,https://www.youtube.com/watch?v=lp-EO5I60KA,0,,,,
2016,2,Sorry,Justin Bieber,https://www.youtube.com/watch?v=fRh_vgS2dFE,1,99.947,C Minor,Sorry,Justin Bieber
2017,2,Despacito (Remix),"Luis Fonsi,Daddy Yankee,Justin Bieber,",https://www.youtube.com/watch?v=NStFsRzWu2Q,1,177.899,D Major,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber"
2018,2,Perfect,Ed Sheeran,https://www.youtube.com/watch?v=_NWs7ntMRBA,0,,,,
2019,2,Sunflower,"Post Malone,Swae Lee,",https://www.youtube.com/watch?v=ApXoWvfEYVU,1,89.908,D Major,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
2020,2,Circles,Post Malone,https://www.youtube.com/watch?v=wXhTHyIgQ_U,1,120.042,C Major,Circles,Post Malone
2021,2,Save Your Tears,"The Weeknd,Ariana Grande,",https://www.youtube.com/watch?v=XXYlFuWEuKI,1,118.091,C Major,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande"
2022,2,As It Was,Harry Styles,https://www.youtube.com/watch?v=H5v3kku4y6Q,1,173.93,Gb Minor,As It Was,Harry Styles
1973,3,Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y,0,,,,
1974,3,Love's Theme,Love Unlimited Orchestra,https://www.youtube.com/watch?v=RLTJ95kj9ng,1,97.136,E Minor,Love's Theme,The Love Unlimited Orchestra
1975,3,Philadelphia Freedom,Elton John,https://www.youtube.com/watch?v=hwcmvKvc91Q,0,,,,
1976,3,Disco Lady,Johnnie Taylor,https://www.youtube.com/watch?v=qOPYn1l1pvw,1,103.751,D Major,Disco Lady,Johnnie Taylor
1977,3,Best of My Love,The Emotions,https://www.youtube.com/watch?v=1ebosz4VbE8,0,,,,
1978,3,You Light Up My Life,Debby Boone,https://www.youtube.com/watch?v=U8Dj5rU8Law,1,77.986,D Major,You Light Up My Life,Debby Boone
1979,3,Le Freak,Chic,https://www.youtube.com/watch?v=aXgSHL7efKg,0,,,,
1980,3,Magic,Olivia Newton-John,https://www.youtube.com/watch?v=DnkHf069fvA,1,103.794,D Major,Magic - Remastered 2022,Olivia Newton-John
1981,3,Lady,Kenny Rogers,https://www.youtube.com/watch?v=zEI1pt2XmPI,1,136.808,Eb Minor,Lady,Kenny Rogers
1982,3,I Love Rock 'n Roll,Joan Jett & The Blackhearts,https://www.youtube.com/watch?v=wMsazR6Tnf8,1,94.379,E Major,I Love Rock 'N Roll,Joan Jett & the Blackhearts
1983,3,Flashdance... What a Feeling,Irene Cara,https://www.youtube.com/watch?v=ILWSp0m9G2U,0,,,,
1984,3,Say Say Say,"Paul McCartney,Michael Jackson,",https://www.youtube.com/watch?v=aLEhh_XpJ-0,1,117.743,Bb Minor,Say Say Say - Remastered 2015,"Paul McCartney, Michael Jackson"
1985,3,Wake Me Up Before You Go-Go,,https://www.youtube.com/watch?v=pIgZ7gMze7A,1,81.548,C Major,Wake Me Up Before You Go-Go,Wham!
1986,3,I Miss You,Klymaxx,https://www.youtube.com/watch?v=gvlhHJNppQg,1,139.562,F Major,I Miss You,Klymaxx
1987,3,Shake You Down,Gregory Abbott,https://www.youtube.com/watch?v=Uc8wmLul3uw,1,94.995,B Minor,Shake You Down,Gregory Abbott
1988,3,Got My Mind Set on You,George Harrison,https://www.youtube.com/watch?v=_71w4UA2Oxo,1,149.211,E Major,Got My Mind Set on You,George Harrison
1989,3,Every Rose Has Its Thorn,Poison,https://www.youtube.com/watch?v=j2r2nDhTzO4,0,,,,
1990,3,Nothing Compares 2 U,Sinéad O'Connor,https://www.youtube.com/watch?v=0-EF60neguk,1,119.917,F Major,Nothing Compares 2 U,Sinéad O'Connor
1991,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,https://www.youtube.com/watch?v=LaTGrV58wec,1,112.117,Gb Major,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),"C & C Music Factory, Freedom Williams"
1992,3,Jump,Kris Kross,https://www.youtube.com/watch?v=010KyIQjkTk,1,101.972,D Major,Jump,Kris Kross
1993,3,Can't Help Falling in Love,UB40,https://www.youtube.com/watch?v=Ajp0Uaw4rqo,1,172.406,D Major,(I Can't Help) Falling In Love With You,UB40
1994,3,I'll Make Love to You,Boyz II Men,https://www.youtube.com/watch?v=fV8vB1BB2qc,1,142.445,D Major,I'll Make Love To You,Boyz II Men
1995,3,Creep,,https://www.youtube.com/watch?v=LlZydtG3xqI,1,91.844,G Major,Creep,Radiohead
1996,3,Because You Loved Me,Celine Dion,https://www.youtube.com/watch?v=fpl4if07ics,1,119.919,Db Major,"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion
1997,3,I'll Be Missing You,"Puff Daddy,Faith Evans,112,",https://www.youtube.com/watch?v=NKMtZm2YuBE,0,,,,
1998,3,You're Still the One,Shania Twain,https://www.youtube.com/watch?v=KNZH-emehxA,1,133.828,Eb Major,You're Still The One,Shania Twain
1999,3,Angel of Mine,Monica,https://www.youtube.com/watch?v=3eOuK-pYhy4,0,,,,
2000,3,Maria Maria,"Santana,The Product G&B,",https://www.youtube.com/watch?v=nPLV7lGbmT4,1,97.911,D Major,Maria Maria (feat. The Product G&B),"Santana, The Product G&B"
2001,3,All for You,Janet Jackson,https://www.youtube.com/watch?v=J551f-TyqjY,0,,,,
2002,3,Hot in Herre,Nelly,https://www.youtube.com/watch?v=GeZZr_p6vB8,0,,,,
2003,3,Get Busy,Sean Paul,https://www.youtube.com/watch?v=oPQ3o14ksaM,1,100.216,Bb Minor,Get Busy,Sean Paul
2004,3,If I Ain't Got You,Alicia Keys,https://www.youtube.com/watch?v=Ju8Hr50Ckwk,1,118.402,G Major,If I Ain't Got You,Alicia Keys
2005,3,Let Me Love You,Mario,https://www.youtube.com/watch?v=H64QG4UsrGI,1,94.519,G Minor,Let Me Love You,Mario
2006,3,Promiscuous,"Nelly Furtado,Timbaland,",https://www.youtube.com/watch?v=0J3vgcE5i2o,1,114.328,Bb Minor,Promiscuous,"Nelly Furtado, Timbaland"
2007,3,The Sweet Escape,"Gwen Stefani,Akon,",https://www.youtube.com/watch?v=O0lf_fE3HwA,1,119.961,Db Major,The Sweet Escape,"Gwen Stefani, Akon"
2008,3,No One,Alicia Keys,https://www.youtube.com/watch?v=rywUS-ohqeE,1,90.098,Db Minor,No One,Alicia Keys
2009,3,Just Dance,"Lady Gaga,Colby O'Donis,",https://www.youtube.com/watch?v=wZgiV1kcR_c,1,118.99,Db Minor,Just Dance,"Lady Gaga, Colby O'Donis"
2010,3,"Hey, Soul Sister",Train,https://www.youtube.com/watch?v=O_XBwOFURhQ,1,97.012,Db Minor,"Hey, Soul Sister",Train
2011,3,Firework,Katy Perry,https://www.youtube.com/watch?v=QGJuMBdaqIw,0,,,,
2012,3,We Are Young,"Fun,Janelle Monáe,",https://www.youtube.com/watch?v=Sv6dMFF_yts,0,,,,
2013,3,Radioactive,Imagine Dragons,https://www.youtube.com/watch?v=bJEaCAWyZ6s,0,,,,
2014,3,All of Me,John Legend,https://www.youtube.com/watch?v=450p7goxZqg,1,119.93,Ab Major,All of Me,John Legend
2015,3,See You Again,"Wiz Khalifa,Charlie Puth,",https://www.youtube.com/watch?v=RgKAFK5djSk,1,80.025,Bb Major,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth"
2016,3,One Dance,"Drake,Wizkid,Kyla,",https://www.youtube.com/watch?v=iAbnEUA0wpA,1,103.967,Db Major,One Dance,"Drake, Wizkid, Kyla"
2017,3,That's What I Like,Bruno Mars,https://www.youtube.com/watch?v=PMivT7MJ41M,0,,,,
2018,3,Meant to Be,"Bebe Rexha,Florida Georgia Line,",https://www.youtube.com/watch?v=zDo0H8Fm7d0,1,153.995,Bb Major,Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line"
2019,3,Without Me,Halsey,https://www.youtube.com/watch?v=ZAfAud_M_mg,1,136.07,Gb Major,Without Me,Halsey
2020,3,The Box,Roddy Ricch,https://www.youtube.com/watch?v=UNZqm3dxd2w,1,116.971,Bb Minor,The Box,Roddy Ricch
2021,3,Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ,0,,,,
2022,3,Stay,"The Kid Laroi,Justin Bieber,",https://www.youtube.com/watch?v=kTJczUoc26U,1,169.928,Db Major,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
1973,4,Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE,1,168.813,Eb Major,Let's Get It On,Marvin Gaye
1974,4,Come and Get Your Love,Redbone,https://www.youtube.com/watch?v=Dj0drevGOgA,1,107.383,B Minor,Come and Get Your Love - Single Version,Redbone
1975,4,Before the Next Teardrop Falls,Freddy Fender,https://www.youtube.com/watch?v=xsCTKMwvK20,0,,,,
1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons,https://www.youtube.com/watch?v=zHmKP0uQNLg,1,104.409,Db Major,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons
1977,4,Evergreen (Love Theme from ,Barbra Streisand,https://www.youtube.com/watch?v=udLeOOy6em4,1,114.709,A Major,"Evergreen (Love Theme from ""A Star Is Born"")",Barbra Streisand
1978,4,Stayin' Alive,Bee Gees,https://www.youtube.com/watch?v=I_izvAbhExY,1,103.564,Bb Minor,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees
1979,4,Da Ya Think I'm Sexy?,Rod Stewart,https://www.youtube.com/watch?v=Hphwfq1wLJs,1,111.504,D Minor,Da Ya Think I'm Sexy?,Rod Stewart
1980,4,Rock with You,Michael Jackson,https://www.youtube.com/watch?v=5X-Mrc2l1d0,0,,,,
1981,4,(Just Like) Starting Over,John Lennon,https://www.youtube.com/watch?v=pZCxyOcvp5A,1,99.104,A Major,(Just Like) Starting Over - Remastered 2010,John Lennon
1982,4,Ebony and Ivory,"Paul McCartney,Stevie Wonder,",https://www.youtube.com/watch?v=fXAlfh6QKQs,1,80.685,B Major,Ebony And Ivory - 2022 Remaster,"Paul McCartney, Stevie Wonder"
1983,4,Down Under,Men at Work,https://www.youtube.com/watch?v=XfR9iY5y94s,0,,,,
1984,4,Footloose,Kenny Loggins,https://www.youtube.com/watch?v=ltrMfT4Qz5Y,1,174.089,A Major,Footloose,Kenny Loggins
1985,4,I Want to Know What Love Is,Foreigner,https://www.youtube.com/watch?v=HNGbhnF8ufs,1,81.204,Gb Major,I Want to Know What Love Is - 1999 Remaster,Foreigner
1986,4,On My Own,"Patti LaBelle,Michael McDonald,",https://www.youtube.com/watch?v=KsH63qJlIMM,1,92.093,F Major,On My Own,"Patti LaBelle, Michael McDonald"
1987,4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://www.youtube.com/watch?v=eH3giaIzONA,1,118.818,Db Major,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
1988,4,Never Gonna Give You Up,Rick Astley,https://www.youtube.com/watch?v=ds8sVhxdvfA,1,113.309,Ab Major,Never Gonna Give You Up,Rick Astley
1989,4,Straight Up,Paula Abdul,https://www.youtube.com/watch?v=El1kgCqD7Xk,1,95.863,G Major,Straight Up,Paula Abdul
1990,4,Poison,Bell Biv DeVoe,https://www.youtube.com/watch?v=l80yV7QwCWw,0,,,,
1991,4,Rush Rush,Paula Abdul,https://www.youtube.com/watch?v=yqyIaNWP0T0,1,90.012,E Major,Rush Rush,Paula Abdul
1992,4,Save the Best for Last,Vanessa Williams,https://www.youtube.com/watch?v=5EdmHSTwmWY,1,95.911,Eb Major,Save The Best For Last,Vanessa Williams
1993,4,That's the Way Love Goes,Janet Jackson,https://www.youtube.com/watch?v=2b_KfAGiglc,1,97.675,F Major,That's The Way Love Goes,Janet Jackson
1994,4,The Power of Love,Celine Dion,https://www.youtube.com/watch?v=UFzw76IPG8U,0,,,,
1995,4,Kiss from a Rose,Seal,https://www.youtube.com/watch?v=AMD2TwRvuoU,1,131.745,Bb Minor,Kiss from a Rose,Seal
1996,4,Nobody Knows,The Tony Rich Project,https://www.youtube.com/watch?v=W7EyUY3-Wrg,1,176.088,F Major,Nobody Knows,The Tony Rich Project
1997,4,Un-Break My Heart,Toni Braxton,https://www.youtube.com/watch?v=p2Rch6WvPJE,1,110.021,D Minor,Un-Break My Heart,Toni Braxton
1998,4,Truly Madly Deeply,Savage Garden,https://www.youtube.com/watch?v=WQnAxOQxQIU,1,168.07,C Major,Truly Madly Deeply,Savage Garden
1999,4,Heartbreak Hotel,"Whitney Houston,Faith Evans,Kelly Price,",https://www.youtube.com/watch?v=xEmdW3_bi4c,1,133.816,Eb Minor,Heartbreak Hotel (feat. Faith Evans & Kelly Price),"Whitney Houston, Faith Evans, Kelly Price"
2000,4,I Wanna Know,Joe,https://www.youtube.com/watch?v=dJ8VjyPw0qY,0,,,,
2001,4,Drops of Jupiter (Tell Me),Train,https://www.youtube.com/watch?v=7Xf-Lesrkuc,0,,,,
2002,4,Dilemma,"Nelly,Kelly Rowland,",https://www.youtube.com/watch?v=8WYHDfJDPDc,0,,,,
2003,4,Crazy in Love,"Beyoncé,Jay-Z,",https://www.youtube.com/watch?v=ViwtNLUqkMY,1,99.252,D Minor,Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z"
2004,4,This Love,Maroon 5,https://www.youtube.com/watch?v=XPpTgCho5ZA,1,95.051,F Minor,This Love,Maroon 5
2005,4,Since U Been Gone,Kelly Clarkson,https://www.youtube.com/watch?v=R7UrFYvl5TE,1,130.999,A Minor,Since U Been Gone,Kelly Clarkson
2006,4,You're Beautiful,James Blunt,https://www.youtube.com/watch?v=oofSnsGkops,1,81.998,C Minor,You're Beautiful,James Blunt
2007,4,Big Girls Don't Cry,Fergie,https://www.youtube.com/watch?v=E6sqA9QtV5I,1,113.083,G Major,Big Girls Don't Cry (Personal),Fergie
2008,4,Lollipop,"Lil Wayne,Static Major,",https://www.youtube.com/watch?v=2IH8tNQAzSs,0,,,,
2009,4,I Gotta Feeling,The Black Eyed Peas,https://www.youtube.com/watch?v=uSD4vsh1zDA,0,,,,
2010,4,California Gurls,"Katy Perry,Snoop Dogg,",https://www.youtube.com/watch?v=F57P9C4SAW4,0,,,,
2011,4,E.T.,"Katy Perry,Kanye West,",https://www.youtube.com/watch?v=t5Sd5c4o9UM,0,,,,
